Indicator,continent,code,country,year,sex,Suicide Rate
Age-standardized suicide rates (per 100 000 population),Europe,DEU,Germany,2010,Male,14.8
Age-standardized suicide rates (per 100 000 population),Africa,MDG,Madagascar,2010,Male,14.82
Age-standardized suicide rates (per 100 000 population),Western Pacific,WSM,Samoa,2010,Both sexes,14.83
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,PAK,Pakistan,2010,Male,14.89
Age-standardized suicide rates (per 100 000 population),Africa,BDI,Burundi,2010,Both sexes,14.92
Age-standardized suicide rates (per 100 000 population),Americas,ECU,Ecuador,2010,Male,15.08
Age-standardized suicide rates (per 100 000 population),Europe,CHE,Switzerland,2010,Male,15.09
Age-standardized suicide rates (per 100 000 population),Europe,NOR,Norway,2010,Male,15.13
Age-standardized suicide rates (per 100 000 population),Americas,CAN,Canada,2010,Male,15.14
Age-standardized suicide rates (per 100 000 population),Africa,GNQ,Equatorial Guinea,2010,Both sexes,15.27
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,SOM,Somalia,2010,Both sexes,15.38
Age-standardized suicide rates (per 100 000 population),Africa,GNB,Guinea-Bissau,2010,Both sexes,15.39
Age-standardized suicide rates (per 100 000 population),Europe,EST,Estonia,2010,Both sexes,15.42
Age-standardized suicide rates (per 100 000 population),Europe,POL,Poland,2010,Both sexes,15.51
Age-standardized suicide rates (per 100 000 population),South-East Asia,IND,India,2010,Both sexes,15.56
Age-standardized suicide rates (per 100 000 population),Europe,SVN,Slovenia,2010,Both sexes,15.56
Age-standardized suicide rates (per 100 000 population),Africa,TZA,United Republic of Tanzania,2010,Male,15.63
Age-standardized suicide rates (per 100 000 population),Africa,GAB,Gabon,2010,Both sexes,15.77
Age-standardized suicide rates (per 100 000 population),Africa,COG,Congo,2010,Both sexes,15.79
Age-standardized suicide rates (per 100 000 population),Africa,BFA,Burkina Faso,2010,Both sexes,15.82
Age-standardized suicide rates (per 100 000 population),Americas,GUY,Guyana,2010,Female,15.83
Age-standardized suicide rates (per 100 000 population),Western Pacific,AUS,Australia,2010,Male,15.94
Age-standardized suicide rates (per 100 000 population),Africa,TCD,Chad,2010,Both sexes,15.97
Age-standardized suicide rates (per 100 000 population),Africa,LSO,Lesotho,2010,Male,152.7
Age-standardized suicide rates (per 100 000 population),Africa,MWI,Malawi,2010,Both sexes,16.03
Age-standardized suicide rates (per 100 000 population),Americas,HTI,Haiti,2010,Male,16.05
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,DJI,Djibouti,2010,Male,16.17
Age-standardized suicide rates (per 100 000 population),Africa,SLE,Sierra Leone,2010,Male,16.42
Age-standardized suicide rates (per 100 000 population),Europe,FIN,Finland,2010,Both sexes,16.44
Age-standardized suicide rates (per 100 000 population),Europe,MNE,Montenegro,2010,Both sexes,16.52
Age-standardized suicide rates (per 100 000 population),Europe,BEL,Belgium,2010,Both sexes,16.52
Age-standardized suicide rates (per 100 000 population),Americas,TTO,Trinidad and Tobago,2010,Male,16.92
Age-standardized suicide rates (per 100 000 population),Europe,SWE,Sweden,2010,Male,17.2
Age-standardized suicide rates (per 100 000 population),Africa,RWA,Rwanda,2010,Male,17.22
Age-standardized suicide rates (per 100 000 population),Europe,IRL,Ireland,2010,Male,17.48
Age-standardized suicide rates (per 100 000 population),Western Pacific,NZL,New Zealand,2010,Male,17.55
Age-standardized suicide rates (per 100 000 population),Europe,MDA,Republic of Moldova,2010,Both sexes,17.64
Age-standardized suicide rates (per 100 000 population),South-East Asia,IND,India,2010,Male,17.96
Age-standardized suicide rates (per 100 000 population),Africa,NAM,Namibia,2010,Both sexes,17.99
Age-standardized suicide rates (per 100 000 population),Europe,ISL,Iceland,2010,Male,18.18
Age-standardized suicide rates (per 100 000 population),Africa,TGO,Togo,2010,Both sexes,18.2
Age-standardized suicide rates (per 100 000 population),Americas,CHL,Chile,2010,Male,18.27
Age-standardized suicide rates (per 100 000 population),Africa,CPV,Cabo Verde,2010,Both sexes,18.44
Age-standardized suicide rates (per 100 000 population),Africa,GIN,Guinea,2010,Male,18.48
Age-standardized suicide rates (per 100 000 population),Europe,ROU,Romania,2010,Male,18.5
Age-standardized suicide rates (per 100 000 population),Americas,USA,United States of America,2010,Male,18.52
Age-standardized suicide rates (per 100 000 population),Americas,CUB,Cuba,2010,Male,18.55
Age-standardized suicide rates (per 100 000 population),South-East Asia,NPL,Nepal,2010,Male,18.58
Age-standardized suicide rates (per 100 000 population),Europe,LVA,Latvia,2010,Both sexes,18.59
Age-standardized suicide rates (per 100 000 population),Western Pacific,SLB,Solomon Islands,2010,Both sexes,18.6
Age-standardized suicide rates (per 100 000 population),Western Pacific,KOR,Republic of Korea,2010,Female,18.63
Age-standardized suicide rates (per 100 000 population),Western Pacific,JPN,Japan,2010,Both sexes,18.81
Age-standardized suicide rates (per 100 000 population),Africa,KEN,Kenya,2010,Male,19
Age-standardized suicide rates (per 100 000 population),Africa,ETH,Ethiopia,2010,Male,19.12
Age-standardized suicide rates (per 100 000 population),Europe,HUN,Hungary,2010,Both sexes,19.17
Age-standardized suicide rates (per 100 000 population),Africa,CMR,Cameroon,2010,Both sexes,19.51
Age-standardized suicide rates (per 100 000 population),Europe,AUT,Austria,2010,Male,19.58
Age-standardized suicide rates (per 100 000 population),Africa,ZMB,Zambia,2010,Both sexes,19.71
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,JOR,Jordan,2010,Both sexes,2.02
Age-standardized suicide rates (per 100 000 population),Europe,GEO,Georgia,2010,Female,2.08
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,TUN,Tunisia,2010,Female,2.1
Age-standardized suicide rates (per 100 000 population),Americas,SLV,El Salvador,2010,Female,2.1
Age-standardized suicide rates (per 100 000 population),Europe,ITA,Italy,2010,Female,2.1
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,SAU,Saudi Arabia,2010,Female,2.11
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,QAT,Qatar,2010,Female,2.13
Age-standardized suicide rates (per 100 000 population),Americas,BLZ,Belize,2010,Female,2.14
Age-standardized suicide rates (per 100 000 population),Africa,STP,Sao Tome and Principe,2010,Both sexes,2.18
Age-standardized suicide rates (per 100 000 population),Africa,DZA,Algeria,2010,Female,2.19
Age-standardized suicide rates (per 100 000 population),Europe,ESP,Spain,2010,Female,2.21
Age-standardized suicide rates (per 100 000 population),Americas,PRY,Paraguay,2010,Female,2.22
Age-standardized suicide rates (per 100 000 population),Americas,BRB,Barbados,2010,Male,2.24
Age-standardized suicide rates (per 100 000 population),Europe,ISR,Israel,2010,Female,2.35
Age-standardized suicide rates (per 100 000 population),Americas,NIC,Nicaragua,2010,Female,2.36
Age-standardized suicide rates (per 100 000 population),Americas,BRA,Brazil,2010,Female,2.4
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,KWT,Kuwait,2010,Both sexes,2.43
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,EGY,Egypt,2010,Female,2.47
Age-standardized suicide rates (per 100 000 population),South-East Asia,BGD,Bangladesh,2010,Female,2.47
Age-standardized suicide rates (per 100 000 population),Europe,TUR,Türkiye,2010,Both sexes,2.47
Age-standardized suicide rates (per 100 000 population),South-East Asia,TLS,Timor-Leste,2010,Female,2.52
Age-standardized suicide rates (per 100 000 population),Western Pacific,MYS,Malaysia,2010,Female,2.53
Age-standardized suicide rates (per 100 000 population),Western Pacific,SLB,Solomon Islands,2010,Female,2.63
Age-standardized suicide rates (per 100 000 population),Americas,HND,Honduras,2010,Both sexes,2.66
Age-standardized suicide rates (per 100 000 population),Europe,GRC,Greece,2010,Both sexes,2.72
Age-standardized suicide rates (per 100 000 population),Americas,VCT,Saint Vincent and the Grenadines,2010,Both sexes,2.88
Age-standardized suicide rates (per 100 000 population),Europe,ARM,Armenia,2010,Female,2.89
Age-standardized suicide rates (per 100 000 population),Western Pacific,PHL,Philippines,2010,Both sexes,2.89
Age-standardized suicide rates (per 100 000 population),South-East Asia,IDN,Indonesia,2010,Both sexes,2.92
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,SYR,Syrian Arab Republic,2010,Male,2.93
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,BHR,Bahrain,2010,Female,2.98
Age-standardized suicide rates (per 100 000 population),Africa,MUS,Mauritius,2010,Female,2.98
Age-standardized suicide rates (per 100 000 population),South-East Asia,NPL,Nepal,2010,Female,2.99
Age-standardized suicide rates (per 100 000 population),Africa,CIV,Côte d’Ivoire,2010,Both sexes,20.01
Age-standardized suicide rates (per 100 000 population),Europe,SRB,Serbia,2010,Male,20.02
Age-standardized suicide rates (per 100 000 population),Europe,SVK,Slovakia,2010,Male,20.09
Age-standardized suicide rates (per 100 000 population),Europe,UKR,Ukraine,2010,Both sexes,20.17
Age-standardized suicide rates (per 100 000 population),Europe,CZE,Czechia,2010,Male,20.41
Age-standardized suicide rates (per 100 000 population),Africa,SEN,Senegal,2010,Male,20.52
Age-standardized suicide rates (per 100 000 population),Africa,ERI,Eritrea,2010,Both sexes,20.53
Age-standardized suicide rates (per 100 000 population),Europe,KGZ,Kyrgyzstan,2010,Male,20.61
Age-standardized suicide rates (per 100 000 population),Africa,GNQ,Equatorial Guinea,2010,Male,20.8
Age-standardized suicide rates (per 100 000 population),Europe,FRA,France,2010,Male,21.21
Age-standardized suicide rates (per 100 000 population),Western Pacific,WSM,Samoa,2010,Male,21.44
Age-standardized suicide rates (per 100 000 population),Europe,HRV,Croatia,2010,Male,21.49
Age-standardized suicide rates (per 100 000 population),South-East Asia,LKA,Sri Lanka,2010,Both sexes,21.87
Age-standardized suicide rates (per 100 000 population),Western Pacific,VUT,Vanuatu,2010,Both sexes,22.15
Age-standardized suicide rates (per 100 000 population),Africa,COD,Democratic Republic of the Congo,2010,Male,22.33
Age-standardized suicide rates (per 100 000 population),Western Pacific,MNG,Mongolia,2010,Both sexes,22.4
Age-standardized suicide rates (per 100 000 population),Africa,BDI,Burundi,2010,Male,22.42
Age-standardized suicide rates (per 100 000 population),Africa,COG,Congo,2010,Male,22.77
Age-standardized suicide rates (per 100 000 population),Africa,BEN,Benin,2010,Male,22.87
Age-standardized suicide rates (per 100 000 population),Americas,URY,Uruguay,2010,Male,23.32
Age-standardized suicide rates (per 100 000 population),Africa,ZWE,Zimbabwe,2010,Female,23.88
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,SOM,Somalia,2010,Male,23.89
Age-standardized suicide rates (per 100 000 population),Africa,AGO,Angola,2010,Male,23.92
Age-standardized suicide rates (per 100 000 population),Europe,BEL,Belgium,2010,Male,24.03
Age-standardized suicide rates (per 100 000 population),Africa,GHA,Ghana,2010,Male,24.39
Age-standardized suicide rates (per 100 000 population),Africa,TCD,Chad,2010,Male,24.8
Age-standardized suicide rates (per 100 000 population),Europe,FIN,Finland,2010,Male,25.08
Age-standardized suicide rates (per 100 000 population),Africa,GNB,Guinea-Bissau,2010,Male,25.26
Age-standardized suicide rates (per 100 000 population),Africa,MOZ,Mozambique,2010,Both sexes,25.31
Age-standardized suicide rates (per 100 000 population),Europe,MNE,Montenegro,2010,Male,25.72
Age-standardized suicide rates (per 100 000 population),Europe,SVN,Slovenia,2010,Male,26.67
Age-standardized suicide rates (per 100 000 population),Africa,BFA,Burkina Faso,2010,Male,26.85
Age-standardized suicide rates (per 100 000 population),Africa,ZAF,South Africa,2010,Both sexes,26.92
Age-standardized suicide rates (per 100 000 population),Western Pacific,FSM,Micronesia (Federated States of),2010,Both sexes,26.99
Age-standardized suicide rates (per 100 000 population),Africa,UGA,Uganda,2010,Male,27.21
Age-standardized suicide rates (per 100 000 population),Africa,GAB,Gabon,2010,Male,27.37
Age-standardized suicide rates (per 100 000 population),Western Pacific,JPN,Japan,2010,Male,27.38
Age-standardized suicide rates (per 100 000 population),Americas,SUR,Suriname,2010,Both sexes,27.42
Age-standardized suicide rates (per 100 000 population),Europe,EST,Estonia,2010,Male,27.57
Age-standardized suicide rates (per 100 000 population),Africa,MWI,Malawi,2010,Male,27.75
Age-standardized suicide rates (per 100 000 population),Western Pacific,KOR,Republic of Korea,2010,Both sexes,27.98
Age-standardized suicide rates (per 100 000 population),Europe,POL,Poland,2010,Male,28.02
Age-standardized suicide rates (per 100 000 population),Africa,CAF,Central African Republic,2010,Both sexes,28.12
Age-standardized suicide rates (per 100 000 population),Africa,TGO,Togo,2010,Male,29.01
Age-standardized suicide rates (per 100 000 population),Africa,SWZ,Eswatini,2010,Female,29.05
Age-standardized suicide rates (per 100 000 population),Europe,KAZ,Kazakhstan,2010,Both sexes,29.41
Age-standardized suicide rates (per 100 000 population),Europe,BLR,Belarus,2010,Both sexes,29.89
Age-standardized suicide rates (per 100 000 population),Africa,DZA,Algeria,2010,Both sexes,3
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,JOR,Jordan,2010,Male,3
Age-standardized suicide rates (per 100 000 population),Europe,TJK,Tajikistan,2010,Female,3.01
Age-standardized suicide rates (per 100 000 population),Africa,GHA,Ghana,2010,Female,3.03
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,LBN,Lebanon,2010,Both sexes,3.04
Age-standardized suicide rates (per 100 000 population),South-East Asia,MDV,Maldives,2010,Both sexes,3.05
Age-standardized suicide rates (per 100 000 population),Europe,SVK,Slovakia,2010,Female,3.07
Age-standardized suicide rates (per 100 000 population),Americas,ARG,Argentina,2010,Female,3.11
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,ARE,United Arab Emirates,2010,Female,3.14
Age-standardized suicide rates (per 100 000 population),Americas,JAM,Jamaica,2010,Male,3.14
Age-standardized suicide rates (per 100 000 population),Europe,MKD,The former Yugoslav Republic of Macedonia,2010,Female,3.15
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,IRQ,Iraq,2010,Female,3.16
Age-standardized suicide rates (per 100 000 population),Africa,STP,Sao Tome and Principe,2010,Male,3.17
Age-standardized suicide rates (per 100 000 population),South-East Asia,THA,Thailand,2010,Female,3.17
Age-standardized suicide rates (per 100 000 population),South-East Asia,BTN,Bhutan,2010,Female,3.18
Age-standardized suicide rates (per 100 000 population),Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2010,Female,3.18
Age-standardized suicide rates (per 100 000 population),Western Pacific,PNG,Papua New Guinea,2010,Both sexes,3.29
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,TUN,Tunisia,2010,Both sexes,3.37
Age-standardized suicide rates (per 100 000 population),Europe,ROU,Romania,2010,Female,3.38
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,KWT,Kuwait,2010,Male,3.4
Age-standardized suicide rates (per 100 000 population),Americas,GTM,Guatemala,2010,Female,3.42
Age-standardized suicide rates (per 100 000 population),Western Pacific,TON,Tonga,2010,Female,3.45
Age-standardized suicide rates (per 100 000 population),Europe,BIH,Bosnia and Herzegovina,2010,Female,3.45
Age-standardized suicide rates (per 100 000 population),Africa,SSD,South Sudan,2010,Female,3.46
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,SDN,Sudan,2010,Female,3.47
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,LBY,Libya,2010,Female,3.58
Age-standardized suicide rates (per 100 000 population),Western Pacific,KHM,Cambodia,2010,Female,3.6
Age-standardized suicide rates (per 100 000 population),Americas,VEN,Venezuela (Bolivarian Republic of),2010,Both sexes,3.6
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,EGY,Egypt,2010,Both sexes,3.62
Age-standardized suicide rates (per 100 000 population),Americas,PER,Peru,2010,Both sexes,3.63
Age-standardized suicide rates (per 100 000 population),Europe,BGR,Bulgaria,2010,Female,3.63
Age-standardized suicide rates (per 100 000 population),Americas,BHS,Bahamas,2010,Both sexes,3.66
Age-standardized suicide rates (per 100 000 population),Europe,TUR,Türkiye,2010,Male,3.74
Age-standardized suicide rates (per 100 000 population),Europe,POL,Poland,2010,Female,3.74
Age-standardized suicide rates (per 100 000 population),South-East Asia,MMR,Myanmar,2010,Both sexes,3.75
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,IRN,Iran (Islamic Republic of),2010,Female,3.76
Age-standardized suicide rates (per 100 000 population),Africa,DZA,Algeria,2010,Male,3.81
Age-standardized suicide rates (per 100 000 population),Americas,PRY,Paraguay,2010,Both sexes,3.82
Age-standardized suicide rates (per 100 000 population),Americas,COL,Colombia,2010,Both sexes,3.85
Age-standardized suicide rates (per 100 000 population),Europe,CZE,Czechia,2010,Female,3.88
Age-standardized suicide rates (per 100 000 population),Europe,TKM,Turkmenistan,2010,Female,3.98
Age-standardized suicide rates (per 100 000 population),Africa,LSO,Lesotho,2010,Female,30.74
Age-standardized suicide rates (per 100 000 population),Africa,CMR,Cameroon,2010,Male,30.93
Age-standardized suicide rates (per 100 000 population),Africa,BWA,Botswana,2010,Both sexes,31.2
Age-standardized suicide rates (per 100 000 population),Europe,LTU,Lithuania,2010,Both sexes,31.32
Age-standardized suicide rates (per 100 000 population),Africa,CIV,Côte d’Ivoire,2010,Male,31.45
Age-standardized suicide rates (per 100 000 population),Europe,MDA,Republic of Moldova,2010,Male,32.01
Age-standardized suicide rates (per 100 000 population),Africa,CPV,Cabo Verde,2010,Male,32.02
Age-standardized suicide rates (per 100 000 population),Africa,NAM,Namibia,2010,Male,32.29
Age-standardized suicide rates (per 100 000 population),Africa,ERI,Eritrea,2010,Male,32.48
Age-standardized suicide rates (per 100 000 population),Europe,HUN,Hungary,2010,Male,32.64
Age-standardized suicide rates (per 100 000 population),Western Pacific,KIR,Kiribati,2010,Both sexes,32.65
Age-standardized suicide rates (per 100 000 population),Europe,RUS,Russian Federation,2010,Both sexes,33.01
Age-standardized suicide rates (per 100 000 population),Africa,ZMB,Zambia,2010,Male,33.26
Age-standardized suicide rates (per 100 000 population),South-East Asia,LKA,Sri Lanka,2010,Male,33.55
Age-standardized suicide rates (per 100 000 population),Western Pacific,SLB,Solomon Islands,2010,Male,34.53
Age-standardized suicide rates (per 100 000 population),Western Pacific,VUT,Vanuatu,2010,Male,34.8
Age-standardized suicide rates (per 100 000 population),Africa,ZWE,Zimbabwe,2010,Both sexes,35.01
Age-standardized suicide rates (per 100 000 population),Europe,LVA,Latvia,2010,Male,35.59
Age-standardized suicide rates (per 100 000 population),Americas,GUY,Guyana,2010,Both sexes,36.37
Age-standardized suicide rates (per 100 000 population),Europe,UKR,Ukraine,2010,Male,37.33
Age-standardized suicide rates (per 100 000 population),Western Pacific,MNG,Mongolia,2010,Male,37.75
Age-standardized suicide rates (per 100 000 population),Western Pacific,KOR,Republic of Korea,2010,Male,39.16
Age-standardized suicide rates (per 100 000 population),Europe,LVA,Latvia,2010,Female,4.04
Age-standardized suicide rates (per 100 000 population),Africa,MRT,Mauritania,2010,Female,4.05
Age-standardized suicide rates (per 100 000 population),South-East Asia,TLS,Timor-Leste,2010,Both sexes,4.15
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,LBN,Lebanon,2010,Male,4.17
Age-standardized suicide rates (per 100 000 population),Europe,PRT,Portugal,2010,Female,4.2
Age-standardized suicide rates (per 100 000 population),Western Pacific,VNM,Viet Nam,2010,Female,4.22
Age-standardized suicide rates (per 100 000 population),Americas,CHL,Chile,2010,Female,4.22
Age-standardized suicide rates (per 100 000 population),Europe,UZB,Uzbekistan,2010,Female,4.29
Age-standardized suicide rates (per 100 000 population),Western Pacific,PHL,Philippines,2010,Male,4.32
Age-standardized suicide rates (per 100 000 population),Americas,PAN,Panama,2010,Both sexes,4.33
Age-standardized suicide rates (per 100 000 population),South-East Asia,IDN,Indonesia,2010,Male,4.38
Age-standardized suicide rates (per 100 000 population),Western Pacific,LAO,Lao People's Democratic Republic,2010,Female,4.44
Age-standardized suicide rates (per 100 000 population),Americas,HND,Honduras,2010,Male,4.48
Age-standardized suicide rates (per 100 000 population),Europe,DEU,Germany,2010,Female,4.51
Age-standardized suicide rates (per 100 000 population),Europe,AZE,Azerbaijan,2010,Both sexes,4.53
Age-standardized suicide rates (per 100 000 population),Americas,TTO,Trinidad and Tobago,2010,Female,4.54
Age-standardized suicide rates (per 100 000 population),Europe,EST,Estonia,2010,Female,4.61
Age-standardized suicide rates (per 100 000 population),Europe,CYP,Cyprus,2010,Both sexes,4.63
Age-standardized suicide rates (per 100 000 population),Africa,NGA,Nigeria,2010,Female,4.66
Age-standardized suicide rates (per 100 000 population),Americas,MEX,Mexico,2010,Both sexes,4.66
Age-standardized suicide rates (per 100 000 population),Europe,NLD,Netherlands,2010,Female,4.67
Age-standardized suicide rates (per 100 000 population),Americas,BOL,Bolivia (Plurinational State of),2010,Female,4.71
Age-standardized suicide rates (per 100 000 population),South-East Asia,MDV,Maldives,2010,Male,4.71
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,TUN,Tunisia,2010,Male,4.72
Age-standardized suicide rates (per 100 000 population),Americas,CUB,Cuba,2010,Female,4.75
Age-standardized suicide rates (per 100 000 population),Europe,KGZ,Kyrgyzstan,2010,Female,4.78
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,EGY,Egypt,2010,Male,4.8
Age-standardized suicide rates (per 100 000 population),South-East Asia,BGD,Bangladesh,2010,Both sexes,4.82
Age-standardized suicide rates (per 100 000 population),Europe,ITA,Italy,2010,Both sexes,4.82
Age-standardized suicide rates (per 100 000 population),Europe,LUX,Luxembourg,2010,Female,4.87
Age-standardized suicide rates (per 100 000 population),Western Pacific,PNG,Papua New Guinea,2010,Male,4.88
Age-standardized suicide rates (per 100 000 population),Europe,IRL,Ireland,2010,Female,4.9
Age-standardized suicide rates (per 100 000 population),Western Pacific,AUS,Australia,2010,Female,4.92
Age-standardized suicide rates (per 100 000 population),Europe,DNK,Denmark,2010,Female,4.93
Age-standardized suicide rates (per 100 000 population),Europe,GRC,Greece,2010,Male,4.94
Age-standardized suicide rates (per 100 000 population),Europe,MDA,Republic of Moldova,2010,Female,4.97
Age-standardized suicide rates (per 100 000 population),Europe,TJK,Tajikistan,2010,Both sexes,4.98
Age-standardized suicide rates (per 100 000 population),Western Pacific,FSM,Micronesia (Federated States of),2010,Male,41.78
Age-standardized suicide rates (per 100 000 population),Africa,ZAF,South Africa,2010,Male,41.85
Age-standardized suicide rates (per 100 000 population),Americas,SUR,Suriname,2010,Male,43.66
Age-standardized suicide rates (per 100 000 population),Africa,MOZ,Mozambique,2010,Male,45.8
Age-standardized suicide rates (per 100 000 population),Africa,CAF,Central African Republic,2010,Male,47.13
Age-standardized suicide rates (per 100 000 population),Americas,BRA,Brazil,2010,Both sexes,5
Age-standardized suicide rates (per 100 000 population),Europe,ESP,Spain,2010,Both sexes,5.05
Age-standardized suicide rates (per 100 000 population),Europe,SVN,Slovenia,2010,Female,5.1
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,SDN,Sudan,2010,Both sexes,5.15
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,PAK,Pakistan,2010,Female,5.17
Age-standardized suicide rates (per 100 000 population),Americas,VCT,Saint Vincent and the Grenadines,2010,Male,5.17
Age-standardized suicide rates (per 100 000 population),Americas,USA,United States of America,2010,Female,5.18
Age-standardized suicide rates (per 100 000 population),Africa,TZA,United Republic of Tanzania,2010,Female,5.2
Age-standardized suicide rates (per 100 000 population),South-East Asia,BTN,Bhutan,2010,Both sexes,5.24
Age-standardized suicide rates (per 100 000 population),Western Pacific,MYS,Malaysia,2010,Both sexes,5.3
Age-standardized suicide rates (per 100 000 population),Europe,ISL,Iceland,2010,Female,5.3
Age-standardized suicide rates (per 100 000 population),Africa,UGA,Uganda,2010,Female,5.33
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,IRQ,Iraq,2010,Both sexes,5.34
Age-standardized suicide rates (per 100 000 population),Western Pacific,TON,Tonga,2010,Both sexes,5.34
Age-standardized suicide rates (per 100 000 population),Americas,NIC,Nicaragua,2010,Both sexes,5.37
Age-standardized suicide rates (per 100 000 population),Americas,DOM,Dominican Republic,2010,Both sexes,5.38
Age-standardized suicide rates (per 100 000 population),Americas,PER,Peru,2010,Male,5.39
Age-standardized suicide rates (per 100 000 population),Americas,ECU,Ecuador,2010,Female,5.42
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,LBY,Libya,2010,Both sexes,5.44
Age-standardized suicide rates (per 100 000 population),Americas,PRY,Paraguay,2010,Male,5.44
Age-standardized suicide rates (per 100 000 population),Americas,CAN,Canada,2010,Female,5.45
Age-standardized suicide rates (per 100 000 population),Europe,AUT,Austria,2010,Female,5.46
Age-standardized suicide rates (per 100 000 population),Europe,UKR,Ukraine,2010,Female,5.47
Age-standardized suicide rates (per 100 000 population),Africa,MRT,Mauritania,2010,Both sexes,5.49
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,YEM,Yemen,2010,Female,5.52
Age-standardized suicide rates (per 100 000 population),Africa,GAB,Gabon,2010,Female,5.6
Age-standardized suicide rates (per 100 000 population),Africa,AGO,Angola,2010,Female,5.61
Age-standardized suicide rates (per 100 000 population),Europe,SRB,Serbia,2010,Female,5.62
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,SAU,Saudi Arabia,2010,Both sexes,5.66
Age-standardized suicide rates (per 100 000 population),Western Pacific,SGP,Singapore,2010,Female,5.68
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,IRN,Iran (Islamic Republic of),2010,Both sexes,5.78
Age-standardized suicide rates (per 100 000 population),Africa,COD,Democratic Republic of the Congo,2010,Female,5.82
Age-standardized suicide rates (per 100 000 population),Europe,MKD,The former Yugoslav Republic of Macedonia,2010,Both sexes,5.82
Age-standardized suicide rates (per 100 000 population),South-East Asia,TLS,Timor-Leste,2010,Male,5.85
Age-standardized suicide rates (per 100 000 population),Europe,ARM,Armenia,2010,Both sexes,5.86
Age-standardized suicide rates (per 100 000 population),Africa,MDG,Madagascar,2010,Female,5.88
Age-standardized suicide rates (per 100 000 population),Africa,SEN,Senegal,2010,Female,5.9
Age-standardized suicide rates (per 100 000 population),Europe,ALB,Albania,2010,Female,5.92
Age-standardized suicide rates (per 100 000 population),Africa,CPV,Cabo Verde,2010,Female,5.94
Age-standardized suicide rates (per 100 000 population),Europe,HRV,Croatia,2010,Female,5.94
Age-standardized suicide rates (per 100 000 population),Europe,KAZ,Kazakhstan,2010,Male,51.26
Age-standardized suicide rates (per 100 000 population),Africa,ZWE,Zimbabwe,2010,Male,51.61
Age-standardized suicide rates (per 100 000 population),Africa,BWA,Botswana,2010,Male,55.07
Age-standardized suicide rates (per 100 000 population),Europe,BLR,Belarus,2010,Male,55.1
Age-standardized suicide rates (per 100 000 population),Europe,LTU,Lithuania,2010,Male,56.13
Age-standardized suicide rates (per 100 000 population),Western Pacific,KIR,Kiribati,2010,Male,57.07
Age-standardized suicide rates (per 100 000 population),Americas,GUY,Guyana,2010,Male,57.71
Age-standardized suicide rates (per 100 000 population),Europe,RUS,Russian Federation,2010,Male,59
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,OMN,Oman,2010,Both sexes,6.1
Age-standardized suicide rates (per 100 000 population),South-East Asia,MMR,Myanmar,2010,Male,6.16
Age-standardized suicide rates (per 100 000 population),Africa,KEN,Kenya,2010,Female,6.16
Age-standardized suicide rates (per 100 000 population),Europe,CHE,Switzerland,2010,Female,6.22
Age-standardized suicide rates (per 100 000 population),Americas,VEN,Venezuela (Bolivarian Republic of),2010,Male,6.3
Age-standardized suicide rates (per 100 000 population),Western Pacific,KHM,Cambodia,2010,Both sexes,6.34
Age-standardized suicide rates (per 100 000 population),Americas,URY,Uruguay,2010,Female,6.35
Age-standardized suicide rates (per 100 000 population),Americas,BHS,Bahamas,2010,Male,6.36
Age-standardized suicide rates (per 100 000 population),Eastern Mediterranean,QAT,Qatar,2010,Both sexes,6.39
