name,personality,total votes,first letter votes percentage,second letter votes percentage,third letter votes percentage,fourth letter votes percentage,first function,second function,third function,fourth function,Instinctual_Variant_type,Tritype_type,Socionics_type,Big5_type,Attitudinal_Psyche_type,Temperaments_type,fourletters_type_votes,Instinctual_Variant_total_votes,Tritype_total_votes,Socionics_total_votes,Big5_total_votes,Attitudinal_Psyche_total_votes,Temperaments_total_votes,Instinctual_Variant_type_votes,Tritype_type_votes,Socionics_type_votes,Big5_type_votes,Attitudinal_Psyche_type_votes,Temperaments_type_votes
RM (BTS),infj,2301,64%,97%,96%,60%,Ni,Fe,Ti,Se,so/sp,415,EII,SCOAI,LEVF,Melancholic-Phlegmatic,1277,224,170,86,94,39,175,151,97,60,51,24,128
Frank James,infj,2063,93%,91%,94%,77%,Ni,Fe,Ti,Se,sp/so,496,IEI,RLUAI,EVLF,Phlegmatic [Dominant],1421,171,141,112,90,23,144,130,82,55,41,11,77
MARINA,infj,1502,81%,96%,94%,87%,Ni,Fe,Ti,Se,sx/sp,417,EIE,RLOAI,VEFL,Melancholic-Sanguine,1146,253,228,100,69,61,152,163,101,61,61,27,95
Osamu Dazai,infj,1718,98%,100%,54%,49%,Ni,Ne,Si,Se,sp/so,469,IEI,RLUAI,LEVF,Melancholic [Dominant],821,236,190,94,80,73,211,152,124,67,63,27,181
Fyodor Dostoyevsky,infj,936,99%,98%,92%,92%,Ni,Fe,Ti,Se,sp/so,416,EII,RLUAI,ELVF,Melancholic [Dominant],792,127,105,146,43,53,139,90,55,97,32,22,116
Mina (TWICE),infj,932,99%,64%,97%,84%,Ni,Fe,Ti,Se,sp/so,962,EII,RLOAN,LEFV,Phlegmatic-Melancholic,550,109,100,47,92,19,111,87,68,43,44,13,89
Marcus Aurelius,infj,918,99%,52%,95%,98%,Ni,Fe,Ti,Se,sp/so,126,EII,RCOAI,LVFE,Phlegmatic-Melancholic,438,81,61,59,38,25,53,70,36,44,34,22,41
Plato,infj,760,98%,98%,92%,96%,Ni,Fe,Ti,Se,so/sp,154,LII,RCOAI,LFVE,Melancholic [Dominant],681,92,81,91,34,47,67,65,60,58,29,25,45
Marilyn Manson,infj,677,95%,82%,88%,74%,Ni,Fe,Ti,Se,sx/sp,458,EIE,RLOEI,VLEF,Melancholic [Dominant],442,125,100,75,43,16,94,50,62,37,25,7,40
Kendrick Lamar,infj,722,94%,91%,95%,81%,Ni,Fe,Ti,Se,so/sp,416,IEI,RLOAI,ELFV,Phlegmatic-Melancholic,535,96,87,60,39,20,76,58,60,46,34,14,46
George Harrison,infj,694,99%,84%,92%,76%,Ni,Fe,Ti,Se,sp/sx,145,LII,RCOAI,LEVF,Melancholic-Phlegmatic,511,65,77,49,28,16,65,54,39,27,23,7,48
Hozier,infj,675,99%,99%,98%,75%,Ni,Fe,Ti,Se,sx/sp,459,IEI,RLOAI,ELVF,Melancholic [Dominant],491,93,63,32,26,11,73,64,48,28,17,10,64
Prophet Muhammad,infj,693,66%,90%,82%,95%,Ni,Fe,Ti,Se,so/sp,926,EIE,RCOAI,VEFL,Phlegmatic-Melancholic,407,67,61,51,45,29,66,42,25,29,26,18,34
Arthur Schopenhauer,infj,596,99%,95%,65%,73%,Ni,Fe,Ti,Se,sp/sx,541,ILI,RLOEI,LEVF,Melancholic [Dominant],377,85,64,76,38,28,76,62,42,67,26,16,64
Joan of Arc,infj,660,79%,95%,95%,70%,Ni,Fe,Ti,Se,sx/so,163,EIE,RLOAI,VELF,Melancholic-Choleric,305,55,57,47,18,20,66,40,28,40,14,20,22
Ranboo,infj,470,98%,98%,96%,91%,Ni,Fe,Ti,Se,so/sp,962,EII,SLOAI,ELFV,Phlegmatic-Sanguine,414,116,96,37,51,28,70,59,55,30,38,13,49
Rooney Mara,infj,599,100%,98%,52%,90%,Ni,Fe,Ti,Se,sx/sp,541,EII,RLOEI,LEVF,Melancholic-Phlegmatic,301,69,46,39,16,10,43,35,31,13,9,9,34
NF,infj,572,97%,89%,70%,85%,Ni,Fe,Ti,Se,sx/so,468,IEI,RLUEI,EVLF,Melancholic [Dominant],323,60,67,27,19,13,64,36,45,20,14,7,54
Benedict Cumberbatch,infj,698,92%,96%,92%,92%,Ni,Fe,Ti,Se,sp/so,459,EIE,RCOAI,VLEF,Phlegmatic-Sanguine,591,38,31,25,16,10,35,33,21,12,10,5,26
Siddhārtha Gautama / Buddha,infj,505,97%,93%,71%,84%,Ni,Fe,Ti,Se,so/sx,592,ILI,RCOAI,EVLF,Phlegmatic [Dominant],322,71,79,40,21,20,56,29,27,21,17,9,25
River Phoenix,infj,528,98%,96%,98%,76%,Ni,Fe,Ti,Se,sx/sp,469,EII,SCUAI,FLEV,Melancholic-Phlegmatic,394,60,49,38,26,15,46,34,17,28,12,11,36
Heeseung (ENHYPEN),infj,486,98%,98%,93%,86%,Ni,Fe,Ti,Se,so/sp,946,EII,RCOAI,LVFE,Phlegmatic-Melancholic,408,80,77,26,26,14,50,56,38,12,20,6,38
Amy Lee,infj,479,88%,91%,98%,57%,Ni,Fe,Ti,Se,sx/sp,469,IEI,RLOAI,EVLF,Melancholic-Sanguine,245,52,46,39,16,13,47,33,32,16,10,9,28
Yves (LOONA),infj,396,94%,96%,97%,95%,Ni,Fe,Ti,Se,so/sx,127,EII,SCOAI,EVFL,Melancholic-Phlegmatic,364,58,47,24,22,6,39,37,23,21,15,3,35
Cate Blanchett,infj,423,74%,97%,91%,97%,Ni,Fe,Ti,Se,sx/so,164,EIE,RCOAI,FELV,Melancholic-Sanguine,299,42,43,33,10,5,29,30,14,18,9,3,20
Ludwig Wittgenstein,infj,312,99%,95%,67%,75%,Ni,Fe,Ti,Se,sx/sp,514,LII,RLOEI,LVEF,Melancholic [Dominant],204,58,54,62,27,24,41,36,35,31,24,13,26
Dante Alighieri,infj,357,94%,99%,90%,96%,Ni,Fe,Ti,Se,sx/sp,145,IEI,RLOEI,EVLF,Melancholic-Choleric,301,51,45,47,16,15,46,29,23,26,13,5,30
Noam Chomsky,infj,374,99%,93%,74%,83%,Ni,Fe,Ti,Se,so/sp,152,LII,RCOAI,LEVF,Melancholic-Phlegmatic,267,40,39,53,24,10,32,26,32,46,18,5,25
Leo Tolstoy,infj,377,95%,92%,96%,74%,Ni,Fe,Ti,Se,sp/so,164,EII,RCOEI,VEFL,Phlegmatic [Dominant],238,33,25,52,13,32,31,17,16,22,9,29,21
Daniel Howell,infj,344,94%,99%,89%,81%,Ni,Fe,Ti,Se,so/sp,469,IEI,RLUAI,LEVF,Phlegmatic-Melancholic,268,47,43,18,26,22,38,29,23,15,13,12,23
Mel Gibson,infj,429,43%,53%,93%,54%,Se,Fe,Ti,Ni,sx/sp,684,SEE,SLUEI,EFLV,Choleric [Dominant],175,30,17,18,20,5,18,23,13,10,8,3,7
Thomas Jefferson,infj,368,97%,99%,58%,91%,Ni,Fe,Ti,Se,sp/so,514,LII,RLOAI,LVFE,Phlegmatic [Dominant],207,25,23,28,9,9,24,16,17,26,7,8,18
Agatha Christie,infj,350,98%,93%,91%,97%,Ni,Fe,Ti,Se,sx/sp,548,ILI,RCUEI,LFEV,Phlegmatic-Melancholic,294,24,37,18,10,1,30,20,24,13,8,1,24
Pythagoras of Samos,infj,305,85%,98%,75%,78%,Ni,Fe,Ti,Se,so/sx,153,ILE,SCOAI,LVEF,Choleric [Dominant],191,39,40,36,10,13,25,33,17,17,6,7,16
Yoko Ono,infj,310,98%,96%,92%,67%,Ni,Fe,Ti,Se,sx/sp,471,IEI,RLOAI,FELV,Melancholic-Sanguine,187,33,30,24,8,4,23,25,18,22,7,3,20
Sam Harris,infj,329,95%,93%,51%,80%,Ni,Fe,Ti,Se,so/sp,152,LII,RCOAI,LVEF,Phlegmatic-Melancholic,159,22,25,31,18,11,22,17,13,12,11,6,16
Sufjan Stevens,infj,280,99%,99%,99%,89%,Ni,Fe,Ti,Se,sp/so,451,IEI,RLOAI,ELVF,Melancholic-Phlegmatic,247,52,30,26,8,10,29,24,20,14,6,8,25
Hongjoong (ATEEZ),infj,294,88%,98%,98%,78%,Ni,Fe,Ti,Se,sx/so,215,EIE,RCOAI,VEFL,Phlegmatic-Sanguine,192,38,34,19,13,9,30,19,19,15,10,5,18
Baruch Spinoza,infj,276,100%,99%,79%,86%,Ni,Fe,Ti,Se,sp/so,152,LII,RCOAI,LVFE,Melancholic-Phlegmatic,215,35,24,39,19,18,23,27,15,25,17,15,13
Nicole Kidman,infj,329,96%,50%,96%,60%,Ni,Fe,Ti,Se,sp/so,469,EII,RLOAI,VFLE,Sanguine-Phlegmatic,138,33,21,32,8,6,21,14,7,11,6,4,12
César Hernández Padrón (Esquizofrenia Natural/Cordura Artificial),infj,218,99%,96%,81%,91%,Ni,Fe,Ti,Se,sp/so,451,ILI,RLOAI,LEVF,Melancholic-Phlegmatic,166,49,51,17,21,9,44,35,14,7,9,5,28
Emily Dickinson,infj,269,100%,100%,91%,71%,Ni,Fe,Ti,Se,sp/sx,549,IEI,RCOAI,LEVF,Melancholic-Phlegmatic,188,25,39,17,11,6,25,20,30,9,5,3,19
Andrei Tarkovsky,infj,224,100%,96%,96%,90%,Ni,Fe,Ti,Se,sp/sx,549,ILI,RLOAI,ELVF,Melancholic-Phlegmatic,195,36,54,30,9,15,30,27,15,15,5,6,24
Claudio Naranjo,infj,145,91%,89%,61%,74%,Ni,Fe,Ti,Se,so/sx,549,ILI,RCOAI,LVEF,Phlegmatic-Melancholic,79,64,45,43,22,23,27,36,11,25,11,9,12
Ethan Torchio,infj,269,100%,78%,90%,85%,Ni,Fe,Ti,Se,sp/so,925,IEI,RCOAI,LVFE,Phlegmatic [Dominant],171,17,15,11,9,5,28,8,12,7,6,3,21
"JAY B ""JB"" (GOT7)",infj,243,96%,92%,77%,97%,Ni,Fe,Ti,Se,sx/sp,485,ILI,RLOEI,ELFV,Choleric-Phlegmatic,179,35,27,16,8,3,24,27,11,6,6,1,9
Till Lindemann,infj,205,86%,68%,84%,66%,Ni,Fe,Ti,Se,sx/so,458,ESI,RLUEI,ELVF,Melancholic-Choleric,111,33,26,30,7,11,36,27,19,17,4,7,25
Hermann Hesse,infj,244,100%,100%,97%,76%,Ni,Fe,Ti,Se,sp/sx,451,IEI,RLUAI,LEFV,Melancholic-Phlegmatic,182,17,21,15,7,5,20,15,10,11,4,3,12
Isaiah Markin (Wendigoon),infj,210,91%,98%,59%,53%,Ni,Fe,Ti,Se,so/sp,952,IEI,RCOAI,LEFV,Phlegmatic [Dominant],106,21,28,13,13,12,24,9,15,6,7,11,19
Serj Tankian,infj,253,62%,100%,94%,63%,Ni,Fe,Ti,Se,so/sx,417,IEE,RCUAI,XXXX,Phlegmatic-Sanguine,151,18,18,17,9,0,12,15,15,9,5,0,11
Xiaojun (WayV) (NCT),infj,208,90%,90%,97%,79%,Ni,Fe,Ti,Se,sp/sx,495,IEI,RCOAI,ELVF,Melancholic [Dominant],157,27,30,13,13,4,31,22,20,12,12,3,29
Kentaro Miura,infj,218,100%,95%,90%,84%,Ni,Fe,Ti,Se,sx/sp,548,ILI,RLUAI,ELVF,Phlegmatic-Melancholic,179,15,19,22,12,7,22,11,9,14,7,4,14
Billy Corgan,infj,151,96%,97%,91%,90%,Ni,Fe,Ti,Se,sx/sp,468,EIE,RLOEI,ELVF,Melancholic [Dominant],124,30,31,27,20,9,31,15,14,15,12,6,19
Dami (DREAMCATCHER),infj,243,100%,54%,69%,100%,Ni,Fe,Ti,Se,sp/so,946,SLI,RCOAI,LVEF,Phlegmatic-Melancholic,117,23,14,7,8,4,21,12,11,6,8,2,15
Medusa,infj,208,98%,93%,51%,93%,Ni,Fe,Ti,Se,sx/so,154,EIE,RLOEI,FVEL,Choleric-Melancholic,92,17,21,12,10,7,21,7,13,7,3,3,13
Pedro II of Brazil,infj,157,99%,99%,82%,81%,Ni,Fe,Ti,Se,so/sp,512,LII,RCOAI,LEVF,Melancholic-Phlegmatic,123,13,26,29,11,8,27,10,16,17,9,6,20
J. Cole,infj,205,68%,96%,98%,88%,Ni,Fe,Ti,Se,sx/so,947,IEE,SCOAI,ELFV,Melancholic-Sanguine,128,19,15,19,5,2,11,14,7,8,2,1,9
Lars von Trier,infj,159,99%,98%,55%,67%,Ni,Fe,Ti,Se,sx/sp,451,ILI,RLUEI,ELVF,Melancholic-Phlegmatic,79,29,28,16,5,3,18,19,15,11,5,1,9
Ruhollah Khomeini (روح‌الله خمینی),infj,222,95%,65%,56%,96%,Ni,Fe,Ti,Se,sx/sp,164,LSI,RLOAI,VLEF,Phlegmatic-Melancholic,115,15,14,14,5,6,8,9,10,13,3,4,4
Nick Cave,infj,153,95%,97%,92%,84%,Ni,Fe,Ti,Se,sp/sx,458,ILI,RLOEI,ELVF,Melancholic [Dominant],121,28,24,14,10,6,21,18,17,7,8,4,16
Simone de Beauvoir,infj,172,98%,98%,85%,93%,Ni,Fe,Ti,Se,sx/so,548,LII,RCOEI,LEVF,Phlegmatic-Sanguine,134,21,21,14,11,10,17,18,13,10,10,6,9
Jinni (NMIXX),infj,221,74%,88%,52%,75%,Ni,Fe,Ti,Se,sp/sx,694,SEI,RCOAI,VLEF,Phlegmatic-Melancholic,74,16,19,12,9,5,12,10,6,4,4,3,8
Diggo,infj,156,99%,76%,97%,82%,Ni,Fe,Ti,Se,so/sp,952,EII,RCOAI,LEVF,Melancholic-Phlegmatic,93,29,16,7,11,6,25,20,11,5,10,3,18
Viktor Frankl,infj,172,98%,100%,96%,95%,Ni,Fe,Ti,Se,sp/so,925,IEI,RCOAI,LEVF,Phlegmatic [Dominant],159,18,20,12,7,5,14,15,9,10,6,3,8
Ayrton Senna,infj,178,97%,56%,58%,87%,Ni,Fe,Ti,Se,sp/so,135,EII,RCOAI,VELF,Phlegmatic-Melancholic,93,16,18,13,6,2,18,10,7,6,2,1,8
Ike Eveland,infj,156,99%,76%,97%,97%,Ni,Fe,Ti,Se,sp/so,126,ESI,RCOAI,LEFV,Phlegmatic [Dominant],110,18,27,8,10,6,17,18,14,5,9,4,15
Gong Yoo,infj,200,98%,65%,95%,64%,Ni,Fe,Ti,Se,sp/so,694,EII,RLOAI,EFVL,Phlegmatic [Dominant],117,13,11,5,4,4,8,11,6,4,3,1,8
Penn Badgley,infj,188,94%,97%,93%,84%,Ni,Fe,Ti,Se,sp/sx,952,EII,RCOAI,ELVF,Melancholic-Phlegmatic,151,10,12,11,5,3,12,6,8,6,4,2,10
Tori Amos,infj,170,99%,95%,98%,61%,Ni,Fe,Ti,Se,so/sx,496,IEI,RCUAI,ELVF,Phlegmatic-Melancholic,103,18,22,11,8,2,11,12,15,7,8,2,9
Megurine Luka,infj,174,97%,93%,90%,94%,Ni,Fe,Ti,Se,sp/sx,145,EII,RCOAI,LEFV,Melancholic-Phlegmatic,138,10,11,12,5,4,18,7,7,7,4,2,11
Edward Norton,infj,180,95%,99%,79%,75%,Ni,Fe,Ti,Se,sp/so,649,ILI,RLOEI,LVEF,Phlegmatic-Melancholic,130,13,12,13,5,3,13,8,8,5,5,3,11
James Joyce,infj,159,100%,99%,91%,65%,Ni,Fe,Ti,Se,sx/sp,548,ILI,RCUEI,ELVF,Melancholic-Phlegmatic,96,17,16,13,4,5,8,8,12,6,2,2,6
Niels Bohr,infj,161,99%,99%,70%,81%,Ni,Fe,Ti,Se,so/sp,152,ILI,RCOAI,LVEF,Phlegmatic [Dominant],112,12,14,29,6,6,17,11,6,18,6,3,12
Mary Shelley,infj,170,99%,98%,81%,79%,Ni,Fe,Ti,Se,sx/sp,458,ILI,RLOAI,LEVF,Melancholic [Dominant],133,13,13,13,4,4,13,11,8,6,2,3,11
Olivia Sun (oliSUNvia),infj,130,98%,93%,95%,86%,Ni,Fe,Ti,Se,so/sp,529,EII,RCOAI,LEFV,Melancholic-Phlegmatic,106,24,19,16,10,7,14,15,7,11,8,6,12
Daniel Day-Lewis,infj,153,99%,99%,96%,95%,Ni,Fe,Ti,Se,sx/sp,548,EIE,RLOAI,EVLF,Melancholic-Phlegmatic,139,19,14,13,8,2,13,16,7,6,6,2,12
Pregame Shuichi Saihara,infj,123,93%,93%,58%,69%,Ni,Fe,Ti,Se,sx/sp,459,ILI,RLUEI,ELVF,Sanguine-Melancholic,54,24,22,7,7,6,23,18,14,6,7,4,17
Leonard Cohen,infj,148,100%,93%,98%,93%,Ni,Fe,Ti,Se,sx/sp,459,EII,RLOAI,ELVF,Melancholic-Phlegmatic,126,18,18,15,5,1,11,13,12,11,4,1,10
Joyce Meng,infj,179,99%,89%,99%,98%,Ni,Fe,Ti,Se,sp/sx,692,IEI,RCOAI,LEVF,Melancholic-Phlegmatic,157,22,11,24,2,1,6,12,9,14,2,1,4
Alan Rickman,infj,182,99%,96%,88%,98%,Ni,Fe,Ti,Se,sp/so,549,ILI,RCOAI,LEVF,Melancholic-Phlegmatic,151,12,12,10,6,6,10,6,5,5,4,4,8
Jeremy Corbyn,infj,156,90%,85%,84%,80%,Ni,Fe,Ti,Se,so/sx,612,EII,RCOAI,ELFV,Phlegmatic [Dominant],98,20,14,12,5,3,12,13,9,8,4,2,8
Yuju (GFRIEND),infj,150,94%,99%,87%,86%,Ni,Fe,Ti,Se,sp/sx,164,EII,SCOAI,VELF,Melancholic-Phlegmatic,119,14,12,8,17,3,18,11,8,7,14,2,12
Alanis Morissette,infj,151,90%,93%,93%,72%,Ni,Fe,Ti,Se,sp/sx,461,EII,RLOAI,VELF,Melancholic-Sanguine,99,16,18,15,4,3,11,8,10,7,2,3,8
Ingmar Bergman,infj,148,100%,97%,91%,81%,Ni,Fe,Ti,Se,sp/sx,451,ILI,RCOAI,LEFV,Melancholic [Dominant],108,17,15,8,5,1,14,11,11,6,2,1,9
Paul Dano,infj,148,97%,97%,98%,86%,Ni,Fe,Ti,Se,sp/so,964,EII,RCUAI,ELVF,Phlegmatic-Sanguine,126,19,14,12,7,4,9,11,9,7,4,2,9
Jane Goodall,infj,140,100%,92%,95%,78%,Ni,Fe,Ti,Se,sx/so,529,EII,RCOAI,ELVF,Melancholic-Phlegmatic,108,15,19,13,4,2,11,8,14,8,4,1,7
Xiao Zhan (Sean Xiao),infj,152,91%,89%,99%,82%,Ni,Fe,Ti,Se,so/sp,641,EII,RCOAI,LEVF,Melancholic-Sanguine,118,14,14,14,6,1,20,11,10,11,6,1,13
Jimin (BTS),enfj,1606,97%,79%,93%,81%,Fe,Ni,Se,Ti,sx/so,371,EIE,SLOAN,VEFL,Sanguine-Melancholic,1211,256,172,85,72,48,139,222,133,54,56,34,109
Harry Styles,enfj,1741,94%,60%,97%,55%,Fe,Ni,Se,Ti,sx/so,279,ESE,SCOAI,EFVL,Sanguine-Melancholic,896,156,121,93,39,27,127,123,82,49,28,19,84
Bang Chan (Stray Kids),enfj,1083,99%,96%,99%,97%,Fe,Ni,Se,Ti,so/sp,269,ESE,SCOAI,VELF,Sanguine [Dominant],1027,221,155,48,85,40,151,107,69,31,51,29,68
Beomgyu (TXT),enfj,808,83%,86%,98%,94%,Fe,Ni,Se,Ti,so/sx,471,IEI,SLOAI,EFVL,Sanguine-Melancholic,535,155,124,45,71,32,129,91,40,32,62,29,106
Anya Taylor-Joy,enfj,941,90%,67%,96%,88%,Fe,Ni,Se,Ti,so/sx,729,ESE,SLUAI,FEVL,Sanguine [Dominant],465,86,72,61,18,15,80,64,46,42,12,7,53
Tupac Shakur,enfj,575,98%,96%,94%,87%,Fe,Ni,Se,Ti,so/sx,826,EIE,SLUAI,VEFL,Sanguine-Melancholic,482,138,94,90,42,26,64,109,38,65,24,24,44
Hatsune Miku,enfj,621,96%,83%,95%,75%,Fe,Ni,Se,Ti,so/sx,729,IEE,SCOAI,VEFL,Sanguine [Dominant],408,88,75,35,35,12,90,74,57,24,22,6,57
Jada Pinkett Smith,enfj,911,50%,96%,52%,97%,Ni,Ni,Se,Se,sx/so,461,EIE,RCOEI,LEVF,Choleric [Dominant],372,32,24,44,9,7,23,18,10,22,4,2,14
Meghan Markle,enfj,635,97%,81%,90%,90%,Fe,Ni,Se,Ti,so/sp,378,EIE,SLOAI,VEFL,Phlegmatic-Choleric,468,66,50,38,28,11,42,53,28,21,13,10,22
Alexandria Ocasio-Cortez,enfj,609,96%,87%,95%,91%,Fe,Ni,Se,Ti,so/sx,628,EIE,SLOAI,VFEL,Choleric-Sanguine,481,63,61,51,26,14,49,49,25,35,18,5,29
Luis Inácio ‘Lula’ da Silva,enfj,501,98%,93%,95%,94%,Fe,Ni,Se,Ti,so/sp,628,EIE,SCOAI,EVLF,Sanguine-Choleric,446,96,63,55,50,27,77,52,19,44,34,11,52
Drake,enfj,565,95%,58%,91%,82%,Fe,Ni,Se,Ti,so/sx,379,SEE,SLOAN,FVEL,Choleric-Phlegmatic,303,76,56,39,25,13,49,34,45,24,17,6,20
Emma Stone,enfj,632,98%,91%,78%,70%,Fe,Ni,Se,Ti,so/sx,639,ESE,SLOAI,EFVL,Sanguine [Dominant],410,55,52,40,22,12,52,39,32,21,14,6,40
Madison Beer,enfj,586,75%,55%,95%,79%,Fe,Ni,Se,Ti,sx/so,369,EIE,SLOAI,ELFV,Melancholic-Sanguine,273,58,44,31,22,12,40,47,25,16,16,4,29
Demi Lovato,enfj,583,98%,64%,96%,61%,Fe,Ni,Se,Ti,sx/so,368,EIE,SLOAI,EVFL,Sanguine-Choleric,306,62,40,38,21,15,39,46,26,27,9,7,30
Sydney Sweeney,enfj,600,97%,81%,65%,93%,Fe,Ni,Se,Ti,sx/so,379,LIE,SLOAI,VEFL,Sanguine [Dominant],270,43,30,23,16,5,42,35,27,10,10,4,31
Damon Albarn,enfj,503,95%,98%,86%,60%,Fe,Ni,Se,Ti,so/sx,478,EIE,SLOAI,EVFL,Sanguine-Choleric,234,47,50,26,17,8,43,36,33,17,10,7,23
Dove Cameron,enfj,426,61%,56%,97%,60%,Fe,Ni,Se,Ti,sp/sx,471,EIE,SLOAI,EFVL,Melancholic-Sanguine,197,49,41,30,21,14,43,24,31,14,13,7,33
Anthony Fantano (theneedledrop),enfj,463,89%,98%,54%,53%,Ne,Ni,Se,Si,so/sp,631,LIE,SCOAI,VLFE,Sanguine-Phlegmatic,192,43,39,26,17,6,23,37,24,12,11,4,14
Choerry (LOONA),enfj,390,99%,77%,99%,79%,Fe,Ni,Se,Ti,so/sx,792,IEE,SCUAI,EFLV,Sanguine [Dominant],221,52,36,29,19,8,50,42,27,16,12,6,44
Oprah Winfrey,enfj,400,96%,89%,97%,98%,Fe,Ni,Se,Ti,so/sx,316,EIE,SCOAI,VEFL,Phlegmatic-Choleric,331,43,26,23,13,11,23,36,18,17,7,9,13
Mikhail Varshavski,enfj,384,94%,75%,97%,96%,Fe,Ni,Se,Ti,so/sp,317,ESE,SCOAI,VEFL,Sanguine-Choleric,251,38,22,27,15,7,30,27,18,11,11,5,13
Nilce Moretto,enfj,319,96%,63%,65%,63%,Fe,Ni,Se,Ti,so/sp,127,ESE,SCOAI,EVFL,Sanguine [Dominant],177,36,41,25,33,9,48,29,29,12,14,4,31
Ekrem İmamoğlu,enfj,367,99%,50%,57%,57%,Fe,Ni,Se,Ti,so/sp,379,ESE,SCOAI,VEFL,Phlegmatic-Sanguine,178,21,23,18,12,4,16,11,9,16,11,3,7
Saoirse Ronan,enfj,347,96%,73%,86%,90%,Fe,Ni,Se,Ti,so/sp,278,EIE,SCOAI,VEFL,Sanguine [Dominant],177,32,27,25,10,8,20,12,13,9,6,6,15
Justin Trudeau,enfj,292,97%,89%,93%,91%,Fe,Ni,Se,Ti,so/sx,379,ESE,SCOAN,VEFL,Sanguine [Dominant],231,37,31,20,20,7,21,27,16,13,9,5,14
Chanyeol (EXO),enfj,322,96%,93%,94%,81%,Fe,Ni,Se,Ti,so/sx,793,EIE,SLUAI,VELF,Sanguine-Melancholic,247,34,22,15,8,9,25,27,10,11,7,4,15
Huh Yunjin (LE SSERAFIM),enfj,277,82%,72%,98%,71%,Fe,Ni,Se,Ti,so/sp,629,EIE,SCOAI,VEFL,Phlegmatic-Sanguine,142,33,36,29,26,15,32,17,14,17,15,11,19
Sabrina Carpenter,enfj,273,98%,78%,91%,85%,Fe,Ni,Se,Ti,sx/so,369,EIE,SLOAI,VELF,Sanguine-Melancholic,185,26,26,17,12,11,28,20,26,12,10,8,25
Anthony Padilla,enfj,369,59%,83%,98%,83%,Fe,Ni,Se,Ti,sp/so,693,IEE,SCOAI,ELFV,Sanguine-Phlegmatic,196,21,16,10,8,4,21,15,6,5,8,3,12
Samuel de Luque (Vegetta777),enfj,255,94%,51%,84%,100%,Fe,Ni,Se,Ti,so/sx,163,ESI,SCOAI,EFLV,Sanguine-Phlegmatic,115,36,31,5,18,7,30,22,22,3,15,4,21
Hamza,enfj,230,88%,54%,58%,56%,Fe,Ni,Se,Ti,sx/sp,368,EIE,SCOAI,VEFL,Sanguine-Choleric,103,37,32,28,25,11,25,17,14,16,12,8,13
Gary Vaynerchuk (Gary Vee),enfj,307,100%,88%,53%,80%,Fe,Ni,Se,Fi,sp/so,317,SEE,SCOEI,EVFL,Choleric-Sanguine,121,15,14,20,4,3,9,6,5,12,3,1,8
Johann Wolfgang von Goethe,enfj,233,75%,99%,97%,92%,Fe,Ni,Se,Ti,sx/so,451,EIE,RCOAI,FVLE,Melancholic-Phlegmatic,162,22,22,31,4,37,19,17,15,28,2,16,14
Solar (MAMAMOO),enfj,249,75%,72%,81%,95%,Fe,Ni,Se,Ti,so/sx,271,ESI,SCOAI,EVFL,Sanguine [Dominant],121,21,39,21,14,4,18,16,15,10,12,4,14
Matthew McConaughey,enfj,254,95%,69%,72%,71%,Fe,Ni,Se,Ti,sx/so,379,EIE,SCOAI,FELV,Phlegmatic-Sanguine,159,29,26,21,6,2,15,21,17,14,5,1,12
Cicero,enfj,261,99%,82%,60%,94%,Fe,Ni,Se,Ti,so/sx,316,EIE,SCOEI,FVLE,Choleric-Sanguine,116,18,17,20,7,3,15,10,9,8,5,2,4
Suho (EXO),enfj,285,61%,51%,96%,98%,Fe,Ni,Se,Ti,so/sp,261,ESI,SLOAN,VEFL,Phlegmatic [Dominant],135,17,16,7,16,3,18,12,13,5,9,3,13
Gal Gadot,enfj,253,95%,65%,93%,92%,Fe,Ni,Se,Ti,so/sx,279,ESE,SLOAI,FELV,Sanguine-Phlegmatic,158,25,20,24,9,9,15,22,16,18,9,5,13
Rosalía,enfj,211,100%,91%,99%,74%,Fe,Ni,Se,Ti,so/sx,379,EIE,SCOAI,EFVL,Sanguine [Dominant],151,38,22,9,8,6,25,16,14,7,8,3,17
Vox Akuma,enfj,220,81%,99%,84%,96%,Fe,Ni,Se,Ti,sx/so,271,EIE,SCOAI,VLEF,Phlegmatic [Dominant],156,29,29,15,14,7,20,16,10,10,12,3,13
Rick Astley,enfj,203,92%,91%,89%,91%,Fe,Ni,Se,Ti,so/sx,296,ESE,SCOAI,EVFL,Melancholic-Phlegmatic,167,17,12,25,13,5,26,16,10,12,8,5,12
Hugh Jackman,enfj,237,99%,53%,95%,95%,Fe,Ni,Se,Ti,so/sx,279,ESE,SCOAI,EVFL,Sanguine [Dominant],123,11,12,11,5,1,11,10,9,7,3,1,10
"Andrey Koval (Windy31, WinDay, Haosit , Comrade Kuyash)",enfj,149,87%,93%,78%,63%,Fe,Ni,Se,Ti,so/sp,792,EIE,SCUAI,VLEF,Sanguine [Dominant],77,27,28,16,14,18,40,16,17,5,5,8,27
Franz Liszt,enfj,183,98%,98%,96%,60%,Fe,Ni,Se,Ti,sx/so,317,EIE,SCOAI,VEFL,Sanguine-Choleric,105,18,12,12,10,5,21,14,3,10,7,3,10
Anthony Kiedis,enfj,190,54%,72%,96%,65%,Fe,Ni,Se,Ti,sx/so,479,EIE,SCUEI,EFVL,Sanguine-Phlegmatic,87,22,16,15,5,4,12,15,7,5,5,3,11
